Name,Team,FR,Events-FR,SO,Events-SO,JR,Events-JR,SR,Events-SR,Total Points
John Newell,North Carolina State University,,,,,26,3,53,3,79
Matthew O'Donnell,North Carolina State University,,,36,3,,,32,3,68
Grant Saale,North Carolina State University,,,,,,,23,3,23
Andreas Schiellerup,North Carolina State University,69,4,71,4,74,3,65,3,279
Stuart Sharp,North Carolina State University,,,,,,,,,0
Austin Snyder,North Carolina State University,,,53,3,43,3,71,3,167
Matthew Thomas,North Carolina State University,,,,,44,3,,,44
Andrew Tollefson,North Carolina State University,,,,,,,,,0
Brian Via,North Carolina State University,,,,,,,,,0
Ryan Wilkinson,North Carolina State University,,,,,,,,,0
David Williams,North Carolina State University,,,,,82,3,82,3,164
Colin Ellington,North Carolina State University,,,,,,,,,0
Noah Franz,North Carolina State University,,,,,,,,,0
Ryan Held,North Carolina State University,79,3,91,3,96,3,96,3,362
Anton Ipsen,North Carolina State University,90,3,84,3,85,3,96,3,355
Charles Mitchell,North Carolina State University,,,,,9,3,,,9
Harrison Mitchell,North Carolina State University,,,,,,,,,0
Jacob Siar,North Carolina State University,,,,,,,27,3,27
Hennessey Stuart,North Carolina State University,72,3,77,4,68,3,63,3,280
Jabari Baptiste,North Carolina State University,,,,,,,,,0
Joseph Bonk,North Carolina State University,40,3,,,65,3,44,3,149
James Bretscher,North Carolina State University,41,3,17,3,67,3,58,3,183
Jon Burkett,North Carolina State University,,,,,,,,,0
Parker Campbell,North Carolina State University,,,,,,,,,0
Daniel Graber,North Carolina State University,,,,,37,3,48,2,85
Justin Moore,North Carolina State University,,,,,,,,,0
John Poff,North Carolina State University,,,,,,,,,0
Justin Ress,North Carolina State University,75,3,80,4,88,3,76,3,319
Mason Revis,North Carolina State University,,,,,,,,,0
Patrik Schwarzenbach,North Carolina State University,35,3,,,,,,,35
Stewart Spanbauer,North Carolina State University,,,,,,,,,0
Quinlan Stuart,North Carolina State University,,,,,,,,,0
James Brady,North Carolina State University,25,3,52,3,58,3,82,3,217
Daniel Erlenmeyer,North Carolina State University,28,3,49,3,35,2,47,3,159
Lucca Martins,North Carolina State University,,,,,,,,,0
Mark McGlaughlin,North Carolina State University,1,3,,,39,3,44,3,84
John McIntyre,North Carolina State University,17,3,,,72,3,,,89
Tyler Rice,North Carolina State University,,,8,3,,,,,8
Coleman Stewart,North Carolina State University,68,4,92,4,92,5,92,5,344
Andreas VAZAIOS,North Carolina State University,,,,,91,5,83,3,174
Zack Warner,North Carolina State University,,,,,,,,,0
Daniel Forndal,North Carolina State University,,,,,,,,,0
Cobe Garcia,North Carolina State University,,,,,28,3,22,3,50
John Gray,North Carolina State University,13,3,45,3,,,,,58
Giovanni IZZO,North Carolina State University,71,3,55,3,,,,,126
Gil kiesler,North Carolina State University,32,3,43,3,16,3,,,91
Eric Knowles,North Carolina State University,73,3,85,3,75,4,,,233
Jacob Molacek,North Carolina State University,,,,,,,41,3,41
Luke Sobolewski,North Carolina State University,,,,,40,3,,,40
Raymond Van Deusen,North Carolina State University,,,,,,,,,0
Zachary Brown,North Carolina State University,34,3,57,3,,,,,91
John Healy,North Carolina State University,,,,,,,,,0
Nyls Korstanje,North Carolina State University,69,3,91,3,,,,,160
Rafał Kusto,North Carolina State University,,,,,,,,,0
Jack Moranetz,North Carolina State University,,,,,,,,,0
Nathaniel Mullens,North Carolina State University,,,,,,,,,0
Curtis Wiltsey,North Carolina State University,,,30,3,,,,,30
Bayne Bennett,North Carolina State University,28,3,,,,,,,28
Noah Bowers,North Carolina State University,31,3,,,,,,,31
Kevin Childs,North Carolina State University,,,,,,,,,0
Zachary Cram,North Carolina State University,,,,,,,,,0
Ross Dant,North Carolina State University,75,3,,,,,,,75
Ergecan Gezmis,North Carolina State University,,,,,72,3,,,72
Kimani Gregory,North Carolina State University,,,,,,,,,0
Thomas Hamlet,North Carolina State University,,,,,,,,,0
Owen Hanna,North Carolina State University,,,,,,,,,0
Noah Henderson,North Carolina State University,45,3,,,,,,,45
Lawrence O'Brien,North Carolina State University,13,3,,,,,,,13
Hunter Tapp,North Carolina State University,24,3,,,,,,,24
William Waite,North Carolina State University,,,,,,,,,0
Markus Wennborg,North Carolina State University,,,,,,,,,0
Samuel Dorman,University of Miami (Florida),,,,,56,2,41,2,97
